States,Total_Cases,CaseRank
Maharashtra,8171048,1
Kerala,6907241,2
Karnataka,4088769,3
"Tamil Nadu",3610655,4
"Andhra Pradesh",2340676,5
"Uttar Pradesh",2145431,6
"West Bengal",2126282,7
Delhi,2040910,8
Odisha,1348409,9
Rajasthan,1326465,10
Gujarat,1291383,11
Chhattisgarh,1187695,12
Haryana,1078903,13
"Madhya Pradesh",1056351,14
Bihar,855267,15
Telengana,844432,16
Punjab,793644,17
Assam,746159,18
"Jammu and Kashmir",482023,19
Uttarakhand,452571,20
Jharkhand,443826,21
"Himachal Pradesh",322905,22
Goa,263346,23
Mizoram,239560,24
Puducherry,177547,25
Manipur,140034,26
Tripura,108493,27
Chandigarh,100693,28
Meghalaya,96983,29
"Arunachal Pradesh",67049,30
Sikkim,44927,31
Nagaland,36033,32
Ladakh,29602,33
"Dadra and Nagar Haveli and Daman and Diu",11592,34
Lakshadweep,11415,35
"Andaman and Nicobar",10766,36
