States,Total_Cases,PreviousTotalCases,CasesDifference
"Andaman and Nicobar",10766,NULL,NULL
Lakshadweep,11415,10766,649
"Dadra and Nagar Haveli and Daman and Diu",11592,11415,177
Ladakh,29602,11592,18010
Nagaland,36033,29602,6431
Sikkim,44927,36033,8894
"Arunachal Pradesh",67049,44927,22122
Meghalaya,96983,67049,29934
Chandigarh,100693,96983,3710
Tripura,108493,100693,7800
Manipur,140034,108493,31541
Puducherry,177547,140034,37513
Mizoram,239560,177547,62013
Goa,263346,239560,23786
"Himachal Pradesh",322905,263346,59559
Jharkhand,443826,322905,120921
Uttarakhand,452571,443826,8745
"Jammu and Kashmir",482023,452571,29452
Assam,746159,482023,264136
Punjab,793644,746159,47485
Telengana,844432,793644,50788
Bihar,855267,844432,10835
"Madhya Pradesh",1056351,855267,201084
Haryana,1078903,1056351,22552
Chhattisgarh,1187695,1078903,108792
Gujarat,1291383,1187695,103688
Rajasthan,1326465,1291383,35082
Odisha,1348409,1326465,21944
Delhi,2040910,1348409,692501
"West Bengal",2126282,2040910,85372
"Uttar Pradesh",2145431,2126282,19149
"Andhra Pradesh",2340676,2145431,195245
"Tamil Nadu",3610655,2340676,1269979
Karnataka,4088769,3610655,478114
Kerala,6907241,4088769,2818472
Maharashtra,8171048,6907241,1263807
