States,Deaths,RunningTotalDeaths
"Dadra and Nagar Haveli and Daman and Diu",4,4
Lakshadweep,52,56
"Andaman and Nicobar",129,185
Ladakh,231,416
"Arunachal Pradesh",296,712
Sikkim,501,1213
Mizoram,734,1947
Nagaland,782,2729
Tripura,942,3671
Chandigarh,1185,4856
Meghalaya,1628,6484
Puducherry,1981,8465
Manipur,2149,10614
Goa,4014,14628
Telengana,4111,18739
"Himachal Pradesh",4241,22980
"Jammu and Kashmir",4792,27772
Jharkhand,5334,33106
Uttarakhand,7768,40874
Assam,8035,48909
Odisha,9215,58124
Rajasthan,9736,67860
Haryana,10755,78615
"Madhya Pradesh",10786,89401
Gujarat,11079,100480
Bihar,12314,112794
Chhattisgarh,14190,126984
"Andhra Pradesh",14733,141717
Punjab,19338,161055
"West Bengal",21555,182610
"Uttar Pradesh",23712,206322
Delhi,26666,232988
"Tamil Nadu",38081,271069
Karnataka,40358,311427
Kerala,72042,383469
Maharashtra,148558,532027
