States,Death_Ratio,Death_Ratio_Rank
Punjab,2.44,1
Nagaland,2.17,2
Maharashtra,1.82,3
Uttarakhand,1.72,4
Meghalaya,1.68,5
Manipur,1.53,6
Goa,1.52,7
Bihar,1.44,8
Delhi,1.31,9
"Himachal Pradesh",1.31,9
"Andaman and Nicobar",1.2,11
Jharkhand,1.2,11
Chhattisgarh,1.19,13
Chandigarh,1.18,14
Sikkim,1.12,15
Puducherry,1.12,15
"Uttar Pradesh",1.11,17
Assam,1.08,18
"Tamil Nadu",1.05,19
Kerala,1.04,20
"Madhya Pradesh",1.02,21
"West Bengal",1.01,22
Haryana,1,23
Karnataka,0.99,24
"Jammu and Kashmir",0.99,24
Tripura,0.87,26
Gujarat,0.86,27
Ladakh,0.78,28
Rajasthan,0.73,29
Odisha,0.68,30
"Andhra Pradesh",0.63,31
Telengana,0.49,32
Lakshadweep,0.46,33
"Arunachal Pradesh",0.44,34
Mizoram,0.31,35
"Dadra and Nagar Haveli and Daman and Diu",0.03,36
